Output_Category_Name,Output_Standard_Code,Output_Standard_Name,Output_Indicator_Code,Output_Indicator_Name,Intermediate_Output_Indicator,SOAlign,Reporting_level,Ouptut or Other Output,APR_Include,Data_source,No_of_countries,No_of_measurements,Target,Actual,Progress
Capacity development and technical support provided,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",C.4,Number of people engaged in capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities contributing to Zero Hunger,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,24,42,23049,23151,100%
Capacity development and technical support provided,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",C.5,Number of capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities to contribute to Zero Hunger and other SDGs,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,26,51,629,716,114%
Capacity development and technical support provided,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",C.6,Number of tools or products developed or revised to enhance national systems contributing to zero hunger and other SDGs as part of WFP capacity strengthening,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,18,20,91,73,80%
Capacity development and technical support provided,2.3,School-age children and adolescents have access to school-based health and nutrition packages,C.16,Number of national institutions engaged in WFP capacity strengthening activities at national and subnational levels,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,10,19,93,87,94%
Capacity development and technical support provided,2.3,School-age children and adolescents have access to school-based health and nutrition packages,C.4,Number of people engaged in capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities contributing to Zero Hunger,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,24,37,24285,27712,114%
Capacity development and technical support provided,2.3,School-age children and adolescents have access to school-based health and nutrition packages,C.5,Number of capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities to contribute to Zero Hunger and other SDGs,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,21,35,906,1194,132%
Capacity development and technical support provided,2.3,School-age children and adolescents have access to school-based health and nutrition packages,C.6,Number of tools or products developed or revised to enhance national systems contributing to zero hunger and other SDGs as part of WFP capacity strengthening,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,10,12,34,28,82%
Capacity development and technical support provided,3.1,People and communities have access to productive assets to better cope with shocks and stressors,C.16,Number of national institutions engaged in WFP capacity strengthening activities at national and subnational levels,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,3,4,20,20,100%
Capacity development and technical support provided,3.1,People and communities have access to productive assets to better cope with shocks and stressors,C.4,Number of people engaged in capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities contributing to Zero Hunger,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,4,6,2134,1351,63%
Capacity development and technical support provided,3.1,People and communities have access to productive assets to better cope with shocks and stressors,C.5,Number of capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities to contribute to Zero Hunger and other SDGs,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,6,10,1949,2045,105%
Capacity development and technical support provided,3.1,People and communities have access to productive assets to better cope with shocks and stressors,C.6,Number of tools or products developed or revised to enhance national systems contributing to zero hunger and other SDGs as part of WFP capacity strengthening,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,3,3,92,80,87%
Capacity development and technical support provided,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",C.16,Number of national institutions engaged in WFP capacity strengthening activities at national and subnational levels,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,9,20,151,244,162%
Capacity development and technical support provided,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",C.4,Number of people engaged in capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities contributing to Zero Hunger,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,10,15,9274,12219,132%
Capacity development and technical support provided,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",C.5,Number of capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities to contribute to Zero Hunger and other SDGs,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,16,22,524,514,98%
Capacity development and technical support provided,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",C.6,Number of tools or products developed or revised to enhance national systems contributing to zero hunger and other SDGs as part of WFP capacity strengthening,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,7,7,45,56,124%
Capacity development and technical support provided,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",C.16,Number of national institutions engaged in WFP capacity strengthening activities at national and subnational levels,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,8,15,85,85,100%
Capacity development and technical support provided,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",C.17,Number of national southern solutions contributing to zero hunger captured and packaged for South–South and triangularcooperation (SSTC),N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,8,5,62%
Capacity development and technical support provided,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",C.4,Number of people engaged in capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities contributing to Zero Hunger,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,15,31,4983,4649,93%
Capacity development and technical support provided,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",C.5,Number of capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities to contribute to Zero Hunger and other SDGs,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,19,32,670,652,97%
Capacity development and technical support provided,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",C.6,Number of tools or products developed or revised to enhance national systems contributing to zero hunger and other SDGs as part of WFP capacity strengthening,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,9,9,94,69,73%
Capacity development and technical support provided,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",C.16,Number of national institutions engaged in WFP capacity strengthening activities at national and subnational levels,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,29,89,487,481,94%
Capacity development and technical support provided,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",C.17,Number of national southern solutions contributing to zero hunger captured and packaged for South–South and triangularcooperation (SSTC),N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,4,7,7,8,94%
Capacity development and technical support provided,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",C.4,Number of people engaged in capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities contributing to Zero Hunger,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,37,101,42817,52961,94%
Capacity development and technical support provided,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",C.5,Number of capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities to contribute to Zero Hunger and other SDGs,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,37,98,1842,1623,94%
Capacity development and technical support provided,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",C.6,Number of tools or products developed or revised to enhance national systems contributing to zero hunger and other SDGs as part of WFP capacity strengthening,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,32,55,381,396,94%
Capacity development and technical support provided,4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",C.16,Number of national institutions engaged in WFP capacity strengthening activities at national and subnational levels,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,22,66,620,714,115%
Capacity development and technical support provided,4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",C.17,Number of national southern solutions contributing to zero hunger captured and packaged for South–South and triangularcooperation (SSTC),N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,3,6,6,100%
Capacity development and technical support provided,4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",C.4,Number of people engaged in capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities contributing to Zero Hunger,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,22,57,16506,23099,140%
Capacity development and technical support provided,4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",C.5,Number of capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities to contribute to Zero Hunger and other SDGs,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,26,71,1191,1393,117%
Capacity development and technical support provided,4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",C.6,Number of tools or products developed or revised to enhance national systems contributing to zero hunger and other SDGs as part of WFP capacity strengthening,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,17,25,288,279,97%
Capacity development and technical support provided,5.1,"Governments and humanitarian actors utilize mandated services in crisis-settings to set-up, manage and deliver response and services",C.4,Number of people engaged in capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities contributing to Zero Hunger,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,6,228,267,117%
Capacity development and technical support provided,5.1,"Governments and humanitarian actors utilize mandated services in crisis-settings to set-up, manage and deliver response and services",C.5,Number of capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities to contribute to Zero Hunger and other SDGs,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,3,9,12,133%
Capacity development and technical support provided,5.1,"Governments and humanitarian actors utilize mandated services in crisis-settings to set-up, manage and deliver response and services",C.6,Number of tools or products developed or revised to enhance national systems contributing to zero hunger and other SDGs as part of WFP capacity strengthening,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,2,13,22,169%
Capacity development and technical support provided,5.2,"Partners utilize on-demand services to augment their capacity and ensure more efficient, effective and coordinated interventions",C.16,Number of national institutions engaged in WFP capacity strengthening activities at national and subnational levels,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,2,49,49,100%
Capacity development and technical support provided,5.2,"Partners utilize on-demand services to augment their capacity and ensure more efficient, effective and coordinated interventions",C.4,Number of people engaged in capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities contributing to Zero Hunger,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,4,264,378,143%
Capacity development and technical support provided,5.2,"Partners utilize on-demand services to augment their capacity and ensure more efficient, effective and coordinated interventions",C.5,Number of capacity strengthening initiatives facilitated by WFP to enhance national stakeholder capacities to contribute to Zero Hunger and other SDGs,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,2,21,10,48%
Capacity development and technical support provided,5.2,"Partners utilize on-demand services to augment their capacity and ensure more efficient, effective and coordinated interventions",C.6,Number of tools or products developed or revised to enhance national systems contributing to zero hunger and other SDGs as part of WFP capacity strengthening,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,2,3,150%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.5,Quantity of non-food items distributed,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,8,13,11584,9619,94%
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.5,Quantity of non-food items distributed,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,17000,23350,137%
Resources transferred,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.5,Quantity of non-food items distributed,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,3,196108,197054,100%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.5,Quantity of non-food items distributed,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,15,26,994112,59803,94%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.5,Quantity of non-food items distributed,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,8,15,29484,32741,111%
Resources transferred,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",A.5,Quantity of non-food items distributed,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,4,9,198322,111340,56%
Resources transferred,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",A.5,Quantity of non-food items distributed,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,3,2130,1572,74%
School feeding provided,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",N.3.1,Number of children receiving deworming with WFP support,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,2,41500,32179,94%
School feeding provided,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",N.3.2,Number of children receiving deworming with WFP support from emergency school-based programming,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,2,0,0,N/A
School feeding provided,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",N.5,Number of schools with infrastructure rehabilitated or constructed in emergency context,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,3,3,53,32,60%
School feeding provided,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",N.3.1,Number of children receiving deworming with WFP support,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,2,0,0,N/A
School feeding provided,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",N.5,Number of schools with infrastructure rehabilitated or constructed in emergency context,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,592,327,55%
School feeding provided,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",N.3.1,Number of children receiving deworming with WFP support,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,2,174095,148574,85%
School feeding provided,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",N.5,Number of schools with infrastructure rehabilitated or constructed in emergency context,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,1083,1108,102%
School feeding provided,2.3,School-age children and adolescents have access to school-based health and nutrition packages,N.3.1,Number of children receiving deworming with WFP support,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,8,20,11940037,9663897,81%
School feeding provided,2.3,School-age children and adolescents have access to school-based health and nutrition packages,N.3.2,Number of children receiving deworming with WFP support from emergency school-based programming,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,4,0,0,N/A
School feeding provided,2.3,School-age children and adolescents have access to school-based health and nutrition packages,N.4.1,Number of children receiving micronutrient powder,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,4,23000,0,0%
School feeding provided,2.3,School-age children and adolescents have access to school-based health and nutrition packages,N.4.2,Number of children receiving micronutrient powder from emergency school-based programming,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,2,0,0,N/A
School feeding provided,2.3,School-age children and adolescents have access to school-based health and nutrition packages,N.5,Number of schools with infrastructure rehabilitated or constructed in emergency context,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,5,5,177,175,99%
School feeding provided,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",N.3.1,Number of children receiving deworming with WFP support,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,4,463907,238900,51%
School feeding provided,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",N.5,Number of schools with infrastructure rehabilitated or constructed in emergency context,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,150,108,72%
School feeding provided,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",N.5,Number of schools with infrastructure rehabilitated or constructed in emergency context,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,30,9,30%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Hectares of community gardens and orchards established/rehabilitated,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,4,6,180,355,197%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of Household and School Gardens,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,3,4,2616,1817,69%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure","Number of water points (ponds, shallow wells, weirs, dams) constructed or rehabilitated",FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,4,10,4631,4549,98%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure","Total annual capacity, installed, restored or maintained for energy generation or storage",FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,105,105,100%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure","Total number of climate adaptation assets built, restored or maintained",FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,4,8,17385,20076,115%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Total tonnes of fish stock brought under sustainable management practices,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,10,8,80%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Hectares of land rehabilitated/benefiting from irrigation infrastructures,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,4,4,10451,10433,100%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Kilometeres of feeder roads and trails constructed/repaired,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,2,3500,3512,100%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Kilometers of drainage canals and flood protection dykes built/rehabilitated,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,3,352,351,100%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Kilometres of irrigation canals,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,2,2902,2918,101%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of bridges constructed/rehabilitated,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,6,6,100%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of community infrastructure,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,4,1310,1310,100%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of culverts and drainage,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,122,122,100%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Hectares of community gardens and orchards established/rehabilitated,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,4,5,399,416,104%
